         Vardas        Pavarde     Galutinis balas
      Vardas175     Pavarde175                6.56
      Vardas176     Pavarde176                5.34
      Vardas177     Pavarde177                7.40
      Vardas183     Pavarde183                5.93
      Vardas186     Pavarde186                6.35
      Vardas187     Pavarde187                7.24
      Vardas188     Pavarde188                5.34
      Vardas190     Pavarde190                6.43
      Vardas191     Pavarde191                6.77
      Vardas194     Pavarde194                5.90
      Vardas196     Pavarde196                7.21
      Vardas197     Pavarde197                6.77
      Vardas198     Pavarde198                5.36
      Vardas199     Pavarde199                7.68
      Vardas201     Pavarde201                5.17
      Vardas202     Pavarde202                6.80
      Vardas203     Pavarde203                6.10
      Vardas205     Pavarde205                7.71
      Vardas206     Pavarde206                5.13
      Vardas215     Pavarde215                6.51
      Vardas216     Pavarde216                7.93
      Vardas217     Pavarde217                6.32
      Vardas224     Pavarde224                5.33
      Vardas226     Pavarde226                5.14
      Vardas227     Pavarde227                6.40
      Vardas230     Pavarde230                5.28
      Vardas233     Pavarde233                5.44
      Vardas234     Pavarde234                8.31
      Vardas235     Pavarde235                8.04
      Vardas236     Pavarde236                6.99
      Vardas237     Pavarde237                5.32
      Vardas238     Pavarde238                7.08
      Vardas240     Pavarde240                6.26
      Vardas241     Pavarde241                8.23
      Vardas242     Pavarde242                7.17
      Vardas244     Pavarde244                6.56
      Vardas245     Pavarde245                7.88
      Vardas249     Pavarde249                8.02
      Vardas250     Pavarde250                6.17
      Vardas251     Pavarde251                9.18
      Vardas252     Pavarde252                6.91
      Vardas257     Pavarde257                8.04
      Vardas258     Pavarde258                8.46
      Vardas260     Pavarde260                5.21
      Vardas263     Pavarde263                5.74
      Vardas264     Pavarde264                5.56
      Vardas268     Pavarde268                7.40
      Vardas269     Pavarde269                8.58
      Vardas270     Pavarde270                6.44
      Vardas271     Pavarde271                5.39
      Vardas273     Pavarde273                7.69
      Vardas274     Pavarde274                5.56
      Vardas275     Pavarde275                5.62
      Vardas277     Pavarde277                8.07
      Vardas278     Pavarde278                5.01
      Vardas279     Pavarde279                5.56
      Vardas280     Pavarde280                6.77
      Vardas281     Pavarde281                5.34
      Vardas283     Pavarde283                5.32
      Vardas287     Pavarde287                8.49
      Vardas289     Pavarde289                7.89
      Vardas290     Pavarde290                7.43
      Vardas291     Pavarde291                5.31
      Vardas293     Pavarde293                6.83
      Vardas294     Pavarde294                5.57
      Vardas298     Pavarde298                5.52
      Vardas300     Pavarde300                6.89
      Vardas301     Pavarde301                7.30
      Vardas302     Pavarde302                8.56
      Vardas303     Pavarde303                5.26
      Vardas305     Pavarde305                6.86
      Vardas306     Pavarde306                6.21
      Vardas307     Pavarde307                6.32
      Vardas308     Pavarde308                5.06
      Vardas309     Pavarde309                5.88
      Vardas312     Pavarde312                8.03
      Vardas314     Pavarde314                7.32
      Vardas317     Pavarde317                8.24
      Vardas321     Pavarde321                5.47
      Vardas326     Pavarde326                6.77
      Vardas328     Pavarde328                7.54
      Vardas330     Pavarde330                5.14
      Vardas331     Pavarde331                5.90
      Vardas332     Pavarde332                5.20
      Vardas334     Pavarde334                7.02
      Vardas335     Pavarde335                7.12
      Vardas337     Pavarde337                7.66
      Vardas338     Pavarde338                8.28
      Vardas339     Pavarde339                7.37
      Vardas340     Pavarde340                8.53
      Vardas341     Pavarde341                7.98
      Vardas346     Pavarde346                6.22
      Vardas347     Pavarde347                8.38
      Vardas350     Pavarde350                7.09
      Vardas351     Pavarde351                5.80
      Vardas353     Pavarde353                8.05
      Vardas354     Pavarde354                7.15
      Vardas355     Pavarde355                7.38
      Vardas356     Pavarde356                6.36
      Vardas358     Pavarde358                6.41
      Vardas359     Pavarde359                6.30
      Vardas360     Pavarde360                5.12
      Vardas361     Pavarde361                5.53
      Vardas363     Pavarde363                7.30
      Vardas365     Pavarde365                6.14
      Vardas367     Pavarde367                8.13
      Vardas369     Pavarde369                7.99
      Vardas370     Pavarde370                8.05
      Vardas371     Pavarde371                8.27
      Vardas372     Pavarde372                7.48
      Vardas373     Pavarde373                5.42
      Vardas374     Pavarde374                7.98
      Vardas375     Pavarde375                5.83
      Vardas377     Pavarde377                6.76
      Vardas378     Pavarde378                7.20
      Vardas380     Pavarde380                5.44
      Vardas381     Pavarde381                6.42
      Vardas385     Pavarde385                7.37
      Vardas388     Pavarde388                5.99
      Vardas390     Pavarde390                5.36
      Vardas392     Pavarde392                8.43
      Vardas393     Pavarde393                6.47
      Vardas396     Pavarde396                6.25
      Vardas397     Pavarde397                5.52
      Vardas399     Pavarde399                5.25
      Vardas400     Pavarde400                5.59
      Vardas401     Pavarde401                5.75
      Vardas403     Pavarde403                7.44
      Vardas404     Pavarde404                6.45
      Vardas406     Pavarde406                8.26
      Vardas407     Pavarde407                5.79
      Vardas408     Pavarde408                5.60
      Vardas409     Pavarde409                5.43
      Vardas410     Pavarde410                7.60
      Vardas413     Pavarde413                8.01
      Vardas416     Pavarde416                5.51
      Vardas419     Pavarde419                7.13
      Vardas421     Pavarde421                6.63
      Vardas423     Pavarde423                7.42
      Vardas424     Pavarde424                6.48
      Vardas425     Pavarde425                7.15
      Vardas426     Pavarde426                7.50
      Vardas430     Pavarde430                7.54
      Vardas431     Pavarde431                5.84
      Vardas432     Pavarde432                7.73
      Vardas433     Pavarde433                7.41
      Vardas435     Pavarde435                5.00
      Vardas436     Pavarde436                7.00
      Vardas437     Pavarde437                7.32
      Vardas438     Pavarde438                7.37
      Vardas441     Pavarde441                8.62
      Vardas445     Pavarde445                8.41
      Vardas446     Pavarde446                7.80
      Vardas447     Pavarde447                5.68
      Vardas448     Pavarde448                8.25
      Vardas449     Pavarde449                8.19
      Vardas451     Pavarde451                5.95
      Vardas452     Pavarde452                6.98
      Vardas454     Pavarde454                5.15
      Vardas456     Pavarde456                5.21
      Vardas457     Pavarde457                6.42
      Vardas458     Pavarde458                7.42
      Vardas463     Pavarde463                7.87
      Vardas466     Pavarde466                6.39
      Vardas469     Pavarde469                8.47
      Vardas470     Pavarde470                5.73
      Vardas471     Pavarde471                6.11
      Vardas472     Pavarde472                6.53
      Vardas473     Pavarde473                6.43
      Vardas474     Pavarde474                7.53
      Vardas475     Pavarde475                5.79
      Vardas480     Pavarde480                8.23
      Vardas482     Pavarde482                5.81
      Vardas483     Pavarde483                6.64
      Vardas485     Pavarde485                5.79
      Vardas486     Pavarde486                7.32
      Vardas487     Pavarde487                7.04
      Vardas488     Pavarde488                6.47
      Vardas489     Pavarde489                8.26
      Vardas490     Pavarde490                5.16
      Vardas491     Pavarde491                7.22
      Vardas493     Pavarde493                7.42
      Vardas494     Pavarde494                7.59
      Vardas496     Pavarde496                7.56
      Vardas499     Pavarde499                6.58
      Vardas500     Pavarde500                5.17
      Vardas502     Pavarde502                5.79
      Vardas503     Pavarde503                5.19
      Vardas505     Pavarde505                7.21
      Vardas507     Pavarde507                7.63
      Vardas508     Pavarde508                6.72
      Vardas513     Pavarde513                5.14
      Vardas514     Pavarde514                6.17
      Vardas515     Pavarde515                5.46
      Vardas516     Pavarde516                7.53
      Vardas517     Pavarde517                7.06
      Vardas518     Pavarde518                6.82
      Vardas520     Pavarde520                7.66
      Vardas521     Pavarde521                7.11
      Vardas523     Pavarde523                7.46
      Vardas524     Pavarde524                6.27
      Vardas526     Pavarde526                6.32
      Vardas529     Pavarde529                8.58
      Vardas530     Pavarde530                5.09
      Vardas531     Pavarde531                5.08
      Vardas532     Pavarde532                7.56
      Vardas536     Pavarde536                5.61
      Vardas537     Pavarde537                7.64
      Vardas540     Pavarde540                5.38
      Vardas541     Pavarde541                7.41
      Vardas542     Pavarde542                6.26
      Vardas543     Pavarde543                7.58
      Vardas544     Pavarde544                6.52
      Vardas547     Pavarde547                6.20
      Vardas549     Pavarde549                5.07
      Vardas550     Pavarde550                5.31
      Vardas554     Pavarde554                7.71
      Vardas555     Pavarde555                7.04
      Vardas556     Pavarde556                8.27
      Vardas557     Pavarde557                5.15
      Vardas559     Pavarde559                6.09
      Vardas560     Pavarde560                5.07
      Vardas561     Pavarde561                8.00
      Vardas563     Pavarde563                5.16
      Vardas565     Pavarde565                6.19
      Vardas566     Pavarde566                7.19
      Vardas568     Pavarde568                6.29
      Vardas569     Pavarde569                5.50
      Vardas571     Pavarde571                5.16
      Vardas572     Pavarde572                5.06
      Vardas573     Pavarde573                7.22
      Vardas576     Pavarde576                5.18
      Vardas578     Pavarde578                5.31
      Vardas579     Pavarde579                6.90
      Vardas580     Pavarde580                5.65
      Vardas581     Pavarde581                5.45
      Vardas582     Pavarde582                7.04
      Vardas587     Pavarde587                6.97
      Vardas589     Pavarde589                5.29
      Vardas590     Pavarde590                5.08
      Vardas591     Pavarde591                6.88
      Vardas593     Pavarde593                5.32
      Vardas595     Pavarde595                6.58
      Vardas597     Pavarde597                5.10
      Vardas598     Pavarde598                6.04
      Vardas600     Pavarde600                6.10
      Vardas602     Pavarde602                5.32
      Vardas603     Pavarde603                6.66
      Vardas604     Pavarde604                7.10
      Vardas605     Pavarde605                7.19
      Vardas606     Pavarde606                6.83
      Vardas607     Pavarde607                5.09
      Vardas609     Pavarde609                5.53
      Vardas611     Pavarde611                5.61
      Vardas617     Pavarde617                6.47
      Vardas618     Pavarde618                7.94
      Vardas619     Pavarde619                6.15
      Vardas620     Pavarde620                6.54
      Vardas621     Pavarde621                5.72
      Vardas626     Pavarde626                6.65
      Vardas628     Pavarde628                5.51
      Vardas630     Pavarde630                6.65
      Vardas632     Pavarde632                6.90
      Vardas634     Pavarde634                6.43
      Vardas636     Pavarde636                7.10
      Vardas637     Pavarde637                5.90
      Vardas638     Pavarde638                6.92
      Vardas639     Pavarde639                5.79
      Vardas640     Pavarde640                5.84
      Vardas641     Pavarde641                7.06
      Vardas644     Pavarde644                8.73
      Vardas645     Pavarde645                7.89
      Vardas647     Pavarde647                5.55
      Vardas649     Pavarde649                7.88
      Vardas650     Pavarde650                6.21
      Vardas651     Pavarde651                6.80
      Vardas653     Pavarde653                6.10
      Vardas654     Pavarde654                6.81
      Vardas656     Pavarde656                6.31
      Vardas657     Pavarde657                5.13
      Vardas660     Pavarde660                6.36
      Vardas661     Pavarde661                6.06
      Vardas662     Pavarde662                7.69
      Vardas664     Pavarde664                8.07
      Vardas666     Pavarde666                6.49
      Vardas667     Pavarde667                7.12
      Vardas669     Pavarde669                6.58
      Vardas670     Pavarde670                7.21
      Vardas674     Pavarde674                7.12
      Vardas677     Pavarde677                5.87
      Vardas678     Pavarde678                5.93
      Vardas680     Pavarde680                7.73
      Vardas681     Pavarde681                8.06
      Vardas683     Pavarde683                7.49
      Vardas686     Pavarde686                7.13
      Vardas689     Pavarde689                6.40
      Vardas690     Pavarde690                8.89
      Vardas691     Pavarde691                6.42
      Vardas693     Pavarde693                5.91
      Vardas694     Pavarde694                6.06
      Vardas695     Pavarde695                5.28
      Vardas698     Pavarde698                7.53
      Vardas699     Pavarde699                6.33
      Vardas700     Pavarde700                5.94
      Vardas701     Pavarde701                8.00
      Vardas702     Pavarde702                6.44
      Vardas705     Pavarde705                5.76
      Vardas708     Pavarde708                8.01
      Vardas710     Pavarde710                5.68
      Vardas711     Pavarde711                8.62
      Vardas713     Pavarde713                5.89
      Vardas714     Pavarde714                6.03
      Vardas716     Pavarde716                7.34
      Vardas717     Pavarde717                5.18
      Vardas721     Pavarde721                5.01
      Vardas725     Pavarde725                6.33
      Vardas726     Pavarde726                6.38
      Vardas729     Pavarde729                5.61
      Vardas730     Pavarde730                6.28
      Vardas731     Pavarde731                7.50
      Vardas735     Pavarde735                5.94
      Vardas739     Pavarde739                5.64
      Vardas740     Pavarde740                7.46
      Vardas741     Pavarde741                5.12
      Vardas743     Pavarde743                6.41
      Vardas744     Pavarde744                5.42
      Vardas745     Pavarde745                5.04
      Vardas746     Pavarde746                7.40
      Vardas748     Pavarde748                5.76
      Vardas749     Pavarde749                6.17
      Vardas751     Pavarde751                6.50
      Vardas752     Pavarde752                6.60
      Vardas754     Pavarde754                7.24
      Vardas755     Pavarde755                8.52
      Vardas756     Pavarde756                5.08
      Vardas757     Pavarde757                6.54
      Vardas758     Pavarde758                7.13
      Vardas759     Pavarde759                6.56
      Vardas762     Pavarde762                6.97
      Vardas765     Pavarde765                7.42
      Vardas766     Pavarde766                5.18
      Vardas768     Pavarde768                8.36
      Vardas769     Pavarde769                6.83
      Vardas770     Pavarde770                6.70
      Vardas771     Pavarde771                5.57
      Vardas774     Pavarde774                7.20
      Vardas775     Pavarde775                6.11
      Vardas777     Pavarde777                6.65
      Vardas778     Pavarde778                7.22
      Vardas779     Pavarde779                5.99
      Vardas780     Pavarde780                7.60
      Vardas781     Pavarde781                5.60
      Vardas785     Pavarde785                5.50
      Vardas786     Pavarde786                6.47
      Vardas789     Pavarde789                8.23
      Vardas791     Pavarde791                7.62
      Vardas793     Pavarde793                5.28
      Vardas795     Pavarde795                7.21
      Vardas796     Pavarde796                7.04
      Vardas797     Pavarde797                6.59
      Vardas799     Pavarde799                5.50
      Vardas800     Pavarde800                7.60
      Vardas801     Pavarde801                5.60
      Vardas802     Pavarde802                5.87
      Vardas805     Pavarde805                5.04
      Vardas807     Pavarde807                5.91
      Vardas808     Pavarde808                5.20
      Vardas809     Pavarde809                6.35
      Vardas811     Pavarde811                5.27
      Vardas813     Pavarde813                6.84
      Vardas814     Pavarde814                5.52
      Vardas815     Pavarde815                5.01
      Vardas816     Pavarde816                8.24
      Vardas818     Pavarde818                6.99
      Vardas822     Pavarde822                5.99
      Vardas824     Pavarde824                6.86
      Vardas825     Pavarde825                8.08
      Vardas826     Pavarde826                6.42
      Vardas827     Pavarde827                7.09
      Vardas828     Pavarde828                7.82
      Vardas829     Pavarde829                8.38
      Vardas830     Pavarde830                6.83
      Vardas831     Pavarde831                6.81
      Vardas832     Pavarde832                6.11
      Vardas834     Pavarde834                5.60
      Vardas835     Pavarde835                7.42
      Vardas836     Pavarde836                6.31
      Vardas838     Pavarde838                8.15
      Vardas839     Pavarde839                6.41
      Vardas841     Pavarde841                7.07
      Vardas842     Pavarde842                5.84
      Vardas844     Pavarde844                5.35
      Vardas845     Pavarde845                6.09
      Vardas846     Pavarde846                6.07
      Vardas849     Pavarde849                5.02
      Vardas850     Pavarde850                5.54
      Vardas853     Pavarde853                5.57
      Vardas857     Pavarde857                5.57
      Vardas859     Pavarde859                7.71
      Vardas860     Pavarde860                5.83
      Vardas863     Pavarde863                5.32
      Vardas864     Pavarde864                5.26
      Vardas866     Pavarde866                6.02
      Vardas867     Pavarde867                7.01
      Vardas871     Pavarde871                7.65
      Vardas872     Pavarde872                5.66
      Vardas873     Pavarde873                6.22
      Vardas874     Pavarde874                6.19
      Vardas877     Pavarde877                8.32
      Vardas878     Pavarde878                7.07
      Vardas879     Pavarde879                5.58
      Vardas882     Pavarde882                7.74
      Vardas883     Pavarde883                5.21
      Vardas885     Pavarde885                5.69
      Vardas886     Pavarde886                6.05
      Vardas888     Pavarde888                5.78
      Vardas889     Pavarde889                5.02
      Vardas890     Pavarde890                6.34
      Vardas891     Pavarde891                8.27
      Vardas893     Pavarde893                6.87
      Vardas894     Pavarde894                7.36
      Vardas895     Pavarde895                6.74
      Vardas896     Pavarde896                8.03
      Vardas897     Pavarde897                5.26
      Vardas898     Pavarde898                7.86
      Vardas903     Pavarde903                6.99
      Vardas905     Pavarde905                7.32
      Vardas906     Pavarde906                6.79
      Vardas907     Pavarde907                7.73
      Vardas910     Pavarde910                6.55
      Vardas911     Pavarde911                7.66
      Vardas912     Pavarde912                5.73
      Vardas913     Pavarde913                5.30
      Vardas915     Pavarde915                8.31
      Vardas916     Pavarde916                7.42
      Vardas918     Pavarde918                7.18
      Vardas919     Pavarde919                5.02
      Vardas920     Pavarde920                6.32
      Vardas921     Pavarde921                5.13
      Vardas922     Pavarde922                7.03
      Vardas923     Pavarde923                6.78
      Vardas924     Pavarde924                6.05
      Vardas927     Pavarde927                6.33
      Vardas928     Pavarde928                6.83
      Vardas930     Pavarde930                7.21
      Vardas931     Pavarde931                5.93
      Vardas933     Pavarde933                5.32
      Vardas934     Pavarde934                5.85
      Vardas936     Pavarde936                7.95
      Vardas940     Pavarde940                7.90
      Vardas941     Pavarde941                6.17
      Vardas945     Pavarde945                5.29
      Vardas946     Pavarde946                7.48
      Vardas950     Pavarde950                8.80
      Vardas951     Pavarde951                5.53
      Vardas954     Pavarde954                5.99
      Vardas958     Pavarde958                5.73
      Vardas959     Pavarde959                6.55
      Vardas960     Pavarde960                6.99
      Vardas961     Pavarde961                6.14
      Vardas962     Pavarde962                6.52
      Vardas963     Pavarde963                5.23
      Vardas968     Pavarde968                6.37
      Vardas969     Pavarde969                5.26
      Vardas970     Pavarde970                6.09
      Vardas971     Pavarde971                7.20
      Vardas972     Pavarde972                5.69
      Vardas976     Pavarde976                6.28
      Vardas977     Pavarde977                7.23
      Vardas978     Pavarde978                6.59
      Vardas979     Pavarde979                6.33
      Vardas980     Pavarde980                6.30
      Vardas981     Pavarde981                5.86
      Vardas982     Pavarde982                7.11
      Vardas986     Pavarde986                6.91
      Vardas987     Pavarde987                5.52
      Vardas988     Pavarde988                8.31
      Vardas990     Pavarde990                5.02
      Vardas992     Pavarde992                8.02
      Vardas993     Pavarde993                6.13
      Vardas994     Pavarde994                7.08
      Vardas998     Pavarde998                8.24
      Vardas999     Pavarde999                5.50
     Vardas1001    Pavarde1001                5.61
     Vardas1002    Pavarde1002                7.20
     Vardas1003    Pavarde1003                5.66
     Vardas1004    Pavarde1004                7.61
     Vardas1005    Pavarde1005                6.87
     Vardas1006    Pavarde1006                7.36
     Vardas1008    Pavarde1008                6.47
     Vardas1009    Pavarde1009                7.28
     Vardas1010    Pavarde1010                5.34
     Vardas1014    Pavarde1014                7.98
     Vardas1015    Pavarde1015                6.87
     Vardas1017    Pavarde1017                7.15
     Vardas1019    Pavarde1019                6.23
     Vardas1020    Pavarde1020                7.37
     Vardas1021    Pavarde1021                6.62
     Vardas1023    Pavarde1023                7.05
     Vardas1024    Pavarde1024                7.05
     Vardas1025    Pavarde1025                7.61
     Vardas1026    Pavarde1026                8.50
     Vardas1028    Pavarde1028                5.23
     Vardas1029    Pavarde1029                8.49
     Vardas1030    Pavarde1030                6.79
     Vardas1031    Pavarde1031                7.39
     Vardas1032    Pavarde1032                6.04
     Vardas1033    Pavarde1033                6.04
     Vardas1035    Pavarde1035                5.44
     Vardas1036    Pavarde1036                5.13
     Vardas1038    Pavarde1038                6.51
     Vardas1039    Pavarde1039                7.92
     Vardas1040    Pavarde1040                6.12
     Vardas1041    Pavarde1041                5.65
     Vardas1042    Pavarde1042                7.32
     Vardas1044    Pavarde1044                7.61
     Vardas1045    Pavarde1045                6.97
     Vardas1047    Pavarde1047                5.85
     Vardas1049    Pavarde1049                6.46
     Vardas1050    Pavarde1050                6.49
     Vardas1052    Pavarde1052                7.80
     Vardas1054    Pavarde1054                8.99
     Vardas1055    Pavarde1055                7.64
     Vardas1057    Pavarde1057                5.38
     Vardas1059    Pavarde1059                6.00
     Vardas1060    Pavarde1060                6.44
     Vardas1061    Pavarde1061                8.31
     Vardas1062    Pavarde1062                7.22
     Vardas1063    Pavarde1063                6.72
     Vardas1065    Pavarde1065                6.65
     Vardas1066    Pavarde1066                5.31
     Vardas1068    Pavarde1068                7.04
     Vardas1069    Pavarde1069                7.08
     Vardas1070    Pavarde1070                8.09
     Vardas1072    Pavarde1072                6.52
     Vardas1073    Pavarde1073                7.07
     Vardas1079    Pavarde1079                8.07
     Vardas1080    Pavarde1080                6.02
     Vardas1082    Pavarde1082                6.91
     Vardas1084    Pavarde1084                5.41
     Vardas1085    Pavarde1085                6.38
     Vardas1086    Pavarde1086                6.14
     Vardas1087    Pavarde1087                6.54
     Vardas1088    Pavarde1088                6.33
     Vardas1091    Pavarde1091                7.33
     Vardas1094    Pavarde1094                7.28
     Vardas1101    Pavarde1101                6.67
     Vardas1103    Pavarde1103                8.01
     Vardas1104    Pavarde1104                8.23
     Vardas1105    Pavarde1105                6.58
     Vardas1107    Pavarde1107                6.45
     Vardas1109    Pavarde1109                5.36
     Vardas1111    Pavarde1111                6.03
     Vardas1113    Pavarde1113                7.48
     Vardas1114    Pavarde1114                8.09
     Vardas1116    Pavarde1116                6.82
     Vardas1118    Pavarde1118                8.59
     Vardas1119    Pavarde1119                5.18
     Vardas1121    Pavarde1121                6.69
     Vardas1122    Pavarde1122                6.42
     Vardas1123    Pavarde1123                7.99
     Vardas1124    Pavarde1124                5.64
     Vardas1125    Pavarde1125                7.20
     Vardas1128    Pavarde1128                8.24
     Vardas1129    Pavarde1129                6.87
     Vardas1131    Pavarde1131                6.23
     Vardas1132    Pavarde1132                6.76
     Vardas1134    Pavarde1134                7.51
     Vardas1135    Pavarde1135                5.74
     Vardas1136    Pavarde1136                6.69
     Vardas1137    Pavarde1137                7.09
     Vardas1138    Pavarde1138                7.39
     Vardas1139    Pavarde1139                8.36
     Vardas1140    Pavarde1140                7.03
     Vardas1141    Pavarde1141                7.26
     Vardas1143    Pavarde1143                6.19
     Vardas1145    Pavarde1145                7.95
     Vardas1147    Pavarde1147                6.27
     Vardas1152    Pavarde1152                5.71
     Vardas1153    Pavarde1153                5.38
     Vardas1154    Pavarde1154                6.14
     Vardas1155    Pavarde1155                8.15
     Vardas1158    Pavarde1158                5.72
     Vardas1159    Pavarde1159                5.84
     Vardas1160    Pavarde1160                7.57
     Vardas1163    Pavarde1163                7.26
     Vardas1166    Pavarde1166                6.52
     Vardas1167    Pavarde1167                5.24
     Vardas1170    Pavarde1170                7.13
     Vardas1171    Pavarde1171                5.18
     Vardas1173    Pavarde1173                7.72
     Vardas1174    Pavarde1174                7.68
     Vardas1175    Pavarde1175                8.51
     Vardas1176    Pavarde1176                7.18
     Vardas1179    Pavarde1179                5.33
     Vardas1180    Pavarde1180                5.98
     Vardas1181    Pavarde1181                5.44
     Vardas1182    Pavarde1182                5.64
     Vardas1183    Pavarde1183                7.80
     Vardas1186    Pavarde1186                8.38
     Vardas1187    Pavarde1187                8.25
     Vardas1191    Pavarde1191                8.09
     Vardas1192    Pavarde1192                5.97
     Vardas1195    Pavarde1195                7.95
     Vardas1196    Pavarde1196                7.23
     Vardas1197    Pavarde1197                6.38
     Vardas1201    Pavarde1201                6.18
     Vardas1202    Pavarde1202                5.94
     Vardas1205    Pavarde1205                6.42
     Vardas1208    Pavarde1208                5.21
     Vardas1210    Pavarde1210                5.53
     Vardas1212    Pavarde1212                5.17
     Vardas1213    Pavarde1213                8.70
     Vardas1214    Pavarde1214                7.09
     Vardas1215    Pavarde1215                5.77
     Vardas1217    Pavarde1217                6.52
     Vardas1218    Pavarde1218                8.54
     Vardas1219    Pavarde1219                5.95
     Vardas1220    Pavarde1220                6.84
     Vardas1222    Pavarde1222                6.26
     Vardas1223    Pavarde1223                5.49
     Vardas1224    Pavarde1224                6.59
     Vardas1225    Pavarde1225                5.95
     Vardas1226    Pavarde1226                6.31
     Vardas1227    Pavarde1227                6.50
     Vardas1228    Pavarde1228                6.58
     Vardas1230    Pavarde1230                6.97
     Vardas1232    Pavarde1232                8.81
     Vardas1233    Pavarde1233                5.10
     Vardas1234    Pavarde1234                8.11
     Vardas1235    Pavarde1235                8.27
     Vardas1236    Pavarde1236                7.51
     Vardas1238    Pavarde1238                7.38
     Vardas1239    Pavarde1239                7.61
     Vardas1240    Pavarde1240                5.44
     Vardas1242    Pavarde1242                5.50
     Vardas1244    Pavarde1244                8.00
     Vardas1245    Pavarde1245                6.44
     Vardas1247    Pavarde1247                5.24
     Vardas1249    Pavarde1249                7.30
     Vardas1250    Pavarde1250                5.85
     Vardas1253    Pavarde1253                5.53
     Vardas1254    Pavarde1254                6.10
     Vardas1255    Pavarde1255                7.45
     Vardas1256    Pavarde1256                7.04
     Vardas1257    Pavarde1257                5.78
     Vardas1258    Pavarde1258                5.08
     Vardas1260    Pavarde1260                8.08
     Vardas1261    Pavarde1261                8.51
     Vardas1263    Pavarde1263                6.03
