         Vardas        Pavarde     Galutinis balas
      Vardas180     Pavarde180                2.71
      Vardas181     Pavarde181                3.96
      Vardas182     Pavarde182                2.27
      Vardas184     Pavarde184                3.82
      Vardas185     Pavarde185                3.68
      Vardas189     Pavarde189                3.51
      Vardas192     Pavarde192                3.70
      Vardas193     Pavarde193                3.69
      Vardas195     Pavarde195                4.59
      Vardas200     Pavarde200                4.52
      Vardas204     Pavarde204                3.91
      Vardas207     Pavarde207                2.75
      Vardas208     Pavarde208                4.09
      Vardas209     Pavarde209                4.04
      Vardas210     Pavarde210                4.27
      Vardas211     Pavarde211                3.25
      Vardas212     Pavarde212                4.26
      Vardas213     Pavarde213                3.65
      Vardas214     Pavarde214                4.72
      Vardas218     Pavarde218                4.88
      Vardas219     Pavarde219                2.36
      Vardas220     Pavarde220                4.40
      Vardas221     Pavarde221                4.81
      Vardas222     Pavarde222                2.93
      Vardas223     Pavarde223                3.33
      Vardas225     Pavarde225                4.23
      Vardas228     Pavarde228                4.11
      Vardas229     Pavarde229                4.15
      Vardas231     Pavarde231                4.01
      Vardas232     Pavarde232                4.38
      Vardas239     Pavarde239                3.41
      Vardas243     Pavarde243                4.27
      Vardas246     Pavarde246                4.64
      Vardas247     Pavarde247                3.74
      Vardas248     Pavarde248                4.29
      Vardas253     Pavarde253                3.46
      Vardas254     Pavarde254                4.04
      Vardas255     Pavarde255                3.51
      Vardas256     Pavarde256                3.51
      Vardas259     Pavarde259                4.46
      Vardas261     Pavarde261                4.88
      Vardas262     Pavarde262                4.90
      Vardas265     Pavarde265                3.47
      Vardas266     Pavarde266                4.56
      Vardas267     Pavarde267                4.01
      Vardas272     Pavarde272                3.87
      Vardas276     Pavarde276                4.64
      Vardas282     Pavarde282                4.79
      Vardas284     Pavarde284                3.29
      Vardas285     Pavarde285                3.79
      Vardas286     Pavarde286                3.01
      Vardas288     Pavarde288                4.53
      Vardas292     Pavarde292                2.81
      Vardas295     Pavarde295                3.82
      Vardas296     Pavarde296                3.72
      Vardas297     Pavarde297                4.34
      Vardas299     Pavarde299                4.80
      Vardas304     Pavarde304                4.06
      Vardas310     Pavarde310                4.91
      Vardas311     Pavarde311                3.87
      Vardas313     Pavarde313                2.66
      Vardas315     Pavarde315                4.41
      Vardas316     Pavarde316                2.87
      Vardas318     Pavarde318                4.86
      Vardas319     Pavarde319                4.37
      Vardas320     Pavarde320                4.25
      Vardas322     Pavarde322                4.78
      Vardas323     Pavarde323                4.13
      Vardas324     Pavarde324                4.07
      Vardas325     Pavarde325                4.02
      Vardas327     Pavarde327                3.43
      Vardas329     Pavarde329                3.59
      Vardas333     Pavarde333                4.37
      Vardas336     Pavarde336                4.99
      Vardas342     Pavarde342                2.24
      Vardas343     Pavarde343                4.21
      Vardas344     Pavarde344                4.57
      Vardas345     Pavarde345                4.34
      Vardas348     Pavarde348                3.82
      Vardas349     Pavarde349                4.47
      Vardas352     Pavarde352                2.89
      Vardas357     Pavarde357                3.48
      Vardas362     Pavarde362                2.97
      Vardas364     Pavarde364                4.88
      Vardas366     Pavarde366                2.98
      Vardas368     Pavarde368                4.50
      Vardas376     Pavarde376                3.15
      Vardas379     Pavarde379                3.52
      Vardas382     Pavarde382                4.47
      Vardas383     Pavarde383                4.59
      Vardas384     Pavarde384                2.53
      Vardas386     Pavarde386                4.55
      Vardas387     Pavarde387                3.83
      Vardas389     Pavarde389                4.02
      Vardas391     Pavarde391                3.47
      Vardas394     Pavarde394                3.65
      Vardas395     Pavarde395                3.15
      Vardas398     Pavarde398                3.26
      Vardas402     Pavarde402                4.12
      Vardas405     Pavarde405                4.44
      Vardas411     Pavarde411                4.57
      Vardas412     Pavarde412                4.08
      Vardas414     Pavarde414                4.81
      Vardas415     Pavarde415                3.80
      Vardas417     Pavarde417                3.45
      Vardas418     Pavarde418                3.41
      Vardas420     Pavarde420                3.78
      Vardas422     Pavarde422                2.62
      Vardas427     Pavarde427                3.11
      Vardas428     Pavarde428                3.00
      Vardas429     Pavarde429                3.52
      Vardas434     Pavarde434                3.98
      Vardas439     Pavarde439                4.75
      Vardas440     Pavarde440                3.41
      Vardas442     Pavarde442                4.05
      Vardas443     Pavarde443                3.49
      Vardas444     Pavarde444                5.00
      Vardas450     Pavarde450                4.35
      Vardas453     Pavarde453                3.33
      Vardas455     Pavarde455                4.09
      Vardas459     Pavarde459                4.19
      Vardas460     Pavarde460                4.04
      Vardas461     Pavarde461                4.95
      Vardas462     Pavarde462                4.82
      Vardas464     Pavarde464                3.73
      Vardas465     Pavarde465                3.57
      Vardas467     Pavarde467                4.46
      Vardas468     Pavarde468                2.96
      Vardas476     Pavarde476                4.18
      Vardas477     Pavarde477                2.77
      Vardas478     Pavarde478                3.72
      Vardas479     Pavarde479                3.29
      Vardas481     Pavarde481                3.31
      Vardas484     Pavarde484                3.62
      Vardas492     Pavarde492                4.09
      Vardas495     Pavarde495                2.74
      Vardas497     Pavarde497                4.37
      Vardas498     Pavarde498                3.05
      Vardas501     Pavarde501                3.60
      Vardas504     Pavarde504                4.31
      Vardas506     Pavarde506                4.50
      Vardas509     Pavarde509                4.01
      Vardas510     Pavarde510                3.67
      Vardas511     Pavarde511                2.82
      Vardas512     Pavarde512                3.44
      Vardas519     Pavarde519                3.50
      Vardas522     Pavarde522                3.73
      Vardas525     Pavarde525                3.77
      Vardas527     Pavarde527                4.78
      Vardas528     Pavarde528                4.99
      Vardas533     Pavarde533                4.80
      Vardas534     Pavarde534                4.13
      Vardas535     Pavarde535                4.86
      Vardas538     Pavarde538                3.84
      Vardas539     Pavarde539                3.79
      Vardas545     Pavarde545                4.21
      Vardas546     Pavarde546                4.98
      Vardas548     Pavarde548                3.57
      Vardas551     Pavarde551                3.72
      Vardas552     Pavarde552                4.50
      Vardas553     Pavarde553                3.68
      Vardas558     Pavarde558                4.93
      Vardas562     Pavarde562                4.40
      Vardas564     Pavarde564                4.46
      Vardas567     Pavarde567                4.43
      Vardas570     Pavarde570                2.30
      Vardas574     Pavarde574                4.80
      Vardas575     Pavarde575                4.28
      Vardas577     Pavarde577                2.75
      Vardas583     Pavarde583                2.66
      Vardas584     Pavarde584                3.66
      Vardas585     Pavarde585                4.82
      Vardas586     Pavarde586                3.84
      Vardas588     Pavarde588                4.18
      Vardas592     Pavarde592                4.81
      Vardas594     Pavarde594                2.27
      Vardas596     Pavarde596                4.52
      Vardas599     Pavarde599                3.92
      Vardas601     Pavarde601                4.97
      Vardas608     Pavarde608                3.63
      Vardas610     Pavarde610                4.39
      Vardas612     Pavarde612                4.13
      Vardas613     Pavarde613                4.37
      Vardas614     Pavarde614                3.47
      Vardas615     Pavarde615                4.55
      Vardas616     Pavarde616                3.09
      Vardas622     Pavarde622                3.79
      Vardas623     Pavarde623                4.08
      Vardas624     Pavarde624                4.70
      Vardas625     Pavarde625                2.79
      Vardas627     Pavarde627                2.74
      Vardas629     Pavarde629                3.70
      Vardas631     Pavarde631                3.42
      Vardas633     Pavarde633                4.71
      Vardas635     Pavarde635                4.76
      Vardas642     Pavarde642                3.05
      Vardas643     Pavarde643                3.62
      Vardas646     Pavarde646                2.77
      Vardas648     Pavarde648                4.31
      Vardas652     Pavarde652                3.68
      Vardas655     Pavarde655                3.32
      Vardas658     Pavarde658                3.87
      Vardas659     Pavarde659                3.82
      Vardas663     Pavarde663                4.90
      Vardas665     Pavarde665                3.63
      Vardas668     Pavarde668                4.00
      Vardas671     Pavarde671                3.79
      Vardas672     Pavarde672                4.66
      Vardas673     Pavarde673                3.25
      Vardas675     Pavarde675                4.56
      Vardas676     Pavarde676                3.92
      Vardas679     Pavarde679                3.64
      Vardas682     Pavarde682                2.66
      Vardas684     Pavarde684                3.71
      Vardas685     Pavarde685                4.61
      Vardas687     Pavarde687                4.57
      Vardas688     Pavarde688                3.77
      Vardas692     Pavarde692                3.61
      Vardas696     Pavarde696                3.33
      Vardas697     Pavarde697                4.37
      Vardas703     Pavarde703                3.65
      Vardas704     Pavarde704                3.05
      Vardas706     Pavarde706                4.83
      Vardas707     Pavarde707                4.97
      Vardas709     Pavarde709                2.92
      Vardas712     Pavarde712                2.04
      Vardas715     Pavarde715                4.64
      Vardas718     Pavarde718                3.68
      Vardas719     Pavarde719                3.25
      Vardas720     Pavarde720                3.80
      Vardas722     Pavarde722                3.57
      Vardas723     Pavarde723                4.27
      Vardas724     Pavarde724                3.52
      Vardas727     Pavarde727                3.06
      Vardas728     Pavarde728                4.40
      Vardas732     Pavarde732                4.67
      Vardas733     Pavarde733                4.27
      Vardas734     Pavarde734                2.85
      Vardas736     Pavarde736                3.25
      Vardas737     Pavarde737                3.93
      Vardas738     Pavarde738                4.53
      Vardas742     Pavarde742                4.90
      Vardas747     Pavarde747                2.78
      Vardas750     Pavarde750                4.73
      Vardas753     Pavarde753                4.44
      Vardas760     Pavarde760                3.56
      Vardas761     Pavarde761                3.83
      Vardas763     Pavarde763                3.64
      Vardas764     Pavarde764                2.50
      Vardas767     Pavarde767                3.71
      Vardas772     Pavarde772                3.25
      Vardas773     Pavarde773                2.84
      Vardas776     Pavarde776                4.25
      Vardas782     Pavarde782                4.17
      Vardas783     Pavarde783                4.67
      Vardas784     Pavarde784                3.80
      Vardas787     Pavarde787                4.40
      Vardas788     Pavarde788                3.28
      Vardas790     Pavarde790                4.67
      Vardas792     Pavarde792                3.87
      Vardas794     Pavarde794                3.61
      Vardas798     Pavarde798                4.72
      Vardas803     Pavarde803                4.05
      Vardas804     Pavarde804                4.64
      Vardas806     Pavarde806                4.83
      Vardas810     Pavarde810                4.21
      Vardas812     Pavarde812                4.50
      Vardas817     Pavarde817                4.21
      Vardas819     Pavarde819                3.58
      Vardas820     Pavarde820                4.83
      Vardas821     Pavarde821                4.70
      Vardas823     Pavarde823                2.97
      Vardas833     Pavarde833                3.29
      Vardas837     Pavarde837                4.66
      Vardas840     Pavarde840                4.59
      Vardas843     Pavarde843                4.97
      Vardas847     Pavarde847                4.27
      Vardas848     Pavarde848                3.99
      Vardas851     Pavarde851                3.34
      Vardas852     Pavarde852                4.60
      Vardas854     Pavarde854                4.21
      Vardas855     Pavarde855                4.45
      Vardas856     Pavarde856                2.97
      Vardas858     Pavarde858                2.64
      Vardas861     Pavarde861                4.94
      Vardas862     Pavarde862                3.83
      Vardas865     Pavarde865                4.60
      Vardas868     Pavarde868                4.12
      Vardas869     Pavarde869                3.34
      Vardas870     Pavarde870                4.79
      Vardas875     Pavarde875                4.58
      Vardas876     Pavarde876                3.84
      Vardas880     Pavarde880                4.08
      Vardas881     Pavarde881                3.89
      Vardas884     Pavarde884                3.64
      Vardas887     Pavarde887                3.15
      Vardas892     Pavarde892                3.43
      Vardas899     Pavarde899                4.43
      Vardas900     Pavarde900                2.94
      Vardas901     Pavarde901                4.54
      Vardas902     Pavarde902                4.00
      Vardas904     Pavarde904                3.71
      Vardas908     Pavarde908                4.38
      Vardas909     Pavarde909                3.06
      Vardas914     Pavarde914                2.34
      Vardas917     Pavarde917                2.39
      Vardas925     Pavarde925                2.94
      Vardas926     Pavarde926                4.51
      Vardas929     Pavarde929                4.52
      Vardas932     Pavarde932                3.20
      Vardas935     Pavarde935                2.86
      Vardas937     Pavarde937                4.45
      Vardas938     Pavarde938                4.85
      Vardas939     Pavarde939                4.00
      Vardas942     Pavarde942                4.22
      Vardas943     Pavarde943                3.69
      Vardas944     Pavarde944                2.18
      Vardas947     Pavarde947                2.81
      Vardas948     Pavarde948                4.90
      Vardas949     Pavarde949                4.33
      Vardas952     Pavarde952                4.66
      Vardas953     Pavarde953                4.13
      Vardas955     Pavarde955                2.86
      Vardas956     Pavarde956                4.74
      Vardas957     Pavarde957                2.29
      Vardas964     Pavarde964                4.46
      Vardas965     Pavarde965                3.59
      Vardas966     Pavarde966                4.20
      Vardas967     Pavarde967                2.95
      Vardas973     Pavarde973                4.07
      Vardas974     Pavarde974                3.48
      Vardas975     Pavarde975                3.31
      Vardas983     Pavarde983                3.86
      Vardas984     Pavarde984                2.65
      Vardas985     Pavarde985                4.06
      Vardas989     Pavarde989                3.43
      Vardas991     Pavarde991                2.96
      Vardas995     Pavarde995                4.44
      Vardas996     Pavarde996                3.25
      Vardas997     Pavarde997                2.21
     Vardas1000    Pavarde1000                3.57
     Vardas1007    Pavarde1007                4.57
     Vardas1011    Pavarde1011                4.97
     Vardas1012    Pavarde1012                4.40
     Vardas1013    Pavarde1013                3.21
     Vardas1016    Pavarde1016                4.08
     Vardas1018    Pavarde1018                4.21
     Vardas1022    Pavarde1022                4.07
     Vardas1027    Pavarde1027                3.40
     Vardas1034    Pavarde1034                3.32
     Vardas1037    Pavarde1037                4.24
     Vardas1043    Pavarde1043                4.83
     Vardas1046    Pavarde1046                4.52
     Vardas1048    Pavarde1048                4.40
     Vardas1051    Pavarde1051                4.25
     Vardas1053    Pavarde1053                3.99
     Vardas1056    Pavarde1056                3.31
     Vardas1058    Pavarde1058                3.49
     Vardas1064    Pavarde1064                4.12
     Vardas1067    Pavarde1067                3.91
     Vardas1071    Pavarde1071                4.01
     Vardas1074    Pavarde1074                4.58
     Vardas1075    Pavarde1075                3.76
     Vardas1076    Pavarde1076                3.24
     Vardas1077    Pavarde1077                4.66
     Vardas1078    Pavarde1078                3.65
     Vardas1081    Pavarde1081                4.92
     Vardas1083    Pavarde1083                3.74
     Vardas1089    Pavarde1089                4.70
     Vardas1090    Pavarde1090                4.00
     Vardas1092    Pavarde1092                3.44
     Vardas1093    Pavarde1093                3.17
     Vardas1095    Pavarde1095                3.60
     Vardas1096    Pavarde1096                3.32
     Vardas1097    Pavarde1097                4.05
     Vardas1098    Pavarde1098                4.32
     Vardas1099    Pavarde1099                2.85
     Vardas1100    Pavarde1100                4.93
     Vardas1102    Pavarde1102                3.50
     Vardas1106    Pavarde1106                4.82
     Vardas1108    Pavarde1108                3.70
     Vardas1110    Pavarde1110                3.68
     Vardas1112    Pavarde1112                2.71
     Vardas1115    Pavarde1115                3.68
     Vardas1117    Pavarde1117                4.07
     Vardas1120    Pavarde1120                4.38
     Vardas1126    Pavarde1126                3.24
     Vardas1127    Pavarde1127                4.43
     Vardas1130    Pavarde1130                4.11
     Vardas1133    Pavarde1133                3.12
     Vardas1142    Pavarde1142                2.56
     Vardas1144    Pavarde1144                3.30
     Vardas1146    Pavarde1146                3.30
     Vardas1148    Pavarde1148                4.14
     Vardas1149    Pavarde1149                3.36
     Vardas1150    Pavarde1150                4.82
     Vardas1151    Pavarde1151                2.41
     Vardas1156    Pavarde1156                3.90
     Vardas1157    Pavarde1157                3.12
     Vardas1161    Pavarde1161                4.46
     Vardas1162    Pavarde1162                3.30
     Vardas1164    Pavarde1164                3.94
     Vardas1165    Pavarde1165                3.22
     Vardas1168    Pavarde1168                3.81
     Vardas1169    Pavarde1169                3.30
     Vardas1172    Pavarde1172                3.89
     Vardas1177    Pavarde1177                3.88
     Vardas1178    Pavarde1178                3.93
     Vardas1184    Pavarde1184                2.63
     Vardas1185    Pavarde1185                4.35
     Vardas1188    Pavarde1188                4.91
     Vardas1189    Pavarde1189                3.78
     Vardas1190    Pavarde1190                2.14
     Vardas1193    Pavarde1193                3.71
     Vardas1194    Pavarde1194                4.96
     Vardas1198    Pavarde1198                4.76
     Vardas1199    Pavarde1199                4.80
     Vardas1200    Pavarde1200                4.00
     Vardas1203    Pavarde1203                4.41
     Vardas1204    Pavarde1204                2.96
     Vardas1206    Pavarde1206                2.77
     Vardas1207    Pavarde1207                3.96
     Vardas1209    Pavarde1209                4.31
     Vardas1211    Pavarde1211                2.72
     Vardas1216    Pavarde1216                3.27
     Vardas1221    Pavarde1221                3.15
     Vardas1229    Pavarde1229                3.03
     Vardas1231    Pavarde1231                3.58
     Vardas1237    Pavarde1237                2.70
     Vardas1241    Pavarde1241                2.90
     Vardas1243    Pavarde1243                2.64
     Vardas1246    Pavarde1246                3.71
     Vardas1248    Pavarde1248                3.15
     Vardas1251    Pavarde1251                4.44
     Vardas1252    Pavarde1252                2.99
     Vardas1259    Pavarde1259                3.32
     Vardas1262    Pavarde1262                4.65
     Vardas1264    Pavarde1264                4.45
     Vardas1266    Pavarde1266                4.88
     Vardas1267    Pavarde1267                3.70
     Vardas1269    Pavarde1269                3.78
     Vardas1270    Pavarde1270                4.85
     Vardas1273    Pavarde1273                4.44
     Vardas1274    Pavarde1274                3.14
     Vardas1275    Pavarde1275                3.81
     Vardas1276    Pavarde1276                4.49
     Vardas1278    Pavarde1278                4.50
     Vardas1280    Pavarde1280                2.99
     Vardas1281    Pavarde1281                3.81
     Vardas1282    Pavarde1282                2.97
     Vardas1284    Pavarde1284                2.82
     Vardas1286    Pavarde1286                3.50
     Vardas1293    Pavarde1293                3.49
     Vardas1295    Pavarde1295                4.79
     Vardas1301    Pavarde1301                3.21
     Vardas1303    Pavarde1303                2.94
     Vardas1305    Pavarde1305                2.60
     Vardas1306    Pavarde1306                4.34
     Vardas1307    Pavarde1307                4.39
     Vardas1309    Pavarde1309                3.40
     Vardas1317    Pavarde1317                3.67
     Vardas1318    Pavarde1318                4.96
     Vardas1319    Pavarde1319                4.47
     Vardas1320    Pavarde1320                3.92
     Vardas1325    Pavarde1325                4.45
     Vardas1327    Pavarde1327                3.46
     Vardas1329    Pavarde1329                4.48
     Vardas1333    Pavarde1333                4.63
     Vardas1337    Pavarde1337                4.37
     Vardas1341    Pavarde1341                3.74
     Vardas1343    Pavarde1343                4.28
     Vardas1344    Pavarde1344                4.34
     Vardas1345    Pavarde1345                2.76
     Vardas1346    Pavarde1346                3.69
     Vardas1348    Pavarde1348                4.53
     Vardas1349    Pavarde1349                3.22
     Vardas1354    Pavarde1354                4.22
     Vardas1359    Pavarde1359                2.50
     Vardas1360    Pavarde1360                4.81
     Vardas1362    Pavarde1362                3.30
     Vardas1363    Pavarde1363                3.23
     Vardas1368    Pavarde1368                2.54
     Vardas1369    Pavarde1369                2.63
     Vardas1371    Pavarde1371                3.66
     Vardas1373    Pavarde1373                4.93
     Vardas1376    Pavarde1376                3.18
     Vardas1377    Pavarde1377                4.43
     Vardas1381    Pavarde1381                3.63
     Vardas1383    Pavarde1383                3.34
     Vardas1384    Pavarde1384                4.98
     Vardas1385    Pavarde1385                2.55
     Vardas1386    Pavarde1386                3.23
     Vardas1387    Pavarde1387                4.00
     Vardas1389    Pavarde1389                3.37
     Vardas1394    Pavarde1394                3.01
     Vardas1399    Pavarde1399                4.28
     Vardas1404    Pavarde1404                4.76
     Vardas1405    Pavarde1405                4.76
     Vardas1409    Pavarde1409                2.49
     Vardas1411    Pavarde1411                3.48
     Vardas1412    Pavarde1412                3.12
     Vardas1416    Pavarde1416                3.79
     Vardas1419    Pavarde1419                4.32
     Vardas1420    Pavarde1420                2.81
     Vardas1421    Pavarde1421                3.85
     Vardas1425    Pavarde1425                3.82
     Vardas1433    Pavarde1433                4.92
     Vardas1436    Pavarde1436                2.79
     Vardas1438    Pavarde1438                4.36
     Vardas1441    Pavarde1441                4.06
     Vardas1443    Pavarde1443                4.02
     Vardas1444    Pavarde1444                4.17
     Vardas1447    Pavarde1447                3.32
     Vardas1449    Pavarde1449                4.88
     Vardas1454    Pavarde1454                4.69
     Vardas1455    Pavarde1455                4.91
     Vardas1458    Pavarde1458                2.90
     Vardas1460    Pavarde1460                4.02
     Vardas1467    Pavarde1467                2.98
     Vardas1471    Pavarde1471                3.38
     Vardas1474    Pavarde1474                4.19
     Vardas1475    Pavarde1475                4.23
     Vardas1476    Pavarde1476                4.71
     Vardas1478    Pavarde1478                3.98
     Vardas1484    Pavarde1484                4.85
     Vardas1489    Pavarde1489                3.78
     Vardas1491    Pavarde1491                2.50
     Vardas1493    Pavarde1493                2.98
     Vardas1494    Pavarde1494                4.44
     Vardas1495    Pavarde1495                4.79
     Vardas1496    Pavarde1496                4.47
     Vardas1500    Pavarde1500                3.46
     Vardas1501    Pavarde1501                3.83
     Vardas1502    Pavarde1502                4.35
     Vardas1507    Pavarde1507                2.79
     Vardas1509    Pavarde1509                3.99
     Vardas1510    Pavarde1510                3.91
     Vardas1511    Pavarde1511                2.60
     Vardas1515    Pavarde1515                2.76
     Vardas1518    Pavarde1518                4.58
     Vardas1522    Pavarde1522                3.94
     Vardas1524    Pavarde1524                2.35
     Vardas1525    Pavarde1525                3.46
     Vardas1526    Pavarde1526                4.78
     Vardas1528    Pavarde1528                4.66
     Vardas1530    Pavarde1530                3.10
     Vardas1532    Pavarde1532                4.99
     Vardas1534    Pavarde1534                2.79
     Vardas1535    Pavarde1535                4.14
     Vardas1542    Pavarde1542                4.58
     Vardas1543    Pavarde1543                4.47
     Vardas1544    Pavarde1544                4.59
     Vardas1545    Pavarde1545                4.56
     Vardas1546    Pavarde1546                3.86
     Vardas1548    Pavarde1548                4.35
     Vardas1552    Pavarde1552                3.44
     Vardas1557    Pavarde1557                3.25
     Vardas1559    Pavarde1559                3.11
     Vardas1567    Pavarde1567                4.90
     Vardas1568    Pavarde1568                4.98
     Vardas1578    Pavarde1578                2.63
     Vardas1579    Pavarde1579                2.70
     Vardas1583    Pavarde1583                4.34
     Vardas1584    Pavarde1584                4.67
     Vardas1587    Pavarde1587                2.10
     Vardas1588    Pavarde1588                4.97
     Vardas1589    Pavarde1589                3.87
     Vardas1591    Pavarde1591                2.51
     Vardas1594    Pavarde1594                3.74
     Vardas1597    Pavarde1597                4.70
     Vardas1599    Pavarde1599                4.92
     Vardas1600    Pavarde1600                2.89
     Vardas1601    Pavarde1601                2.48
     Vardas1602    Pavarde1602                3.02
     Vardas1607    Pavarde1607                4.12
     Vardas1608    Pavarde1608                4.48
     Vardas1609    Pavarde1609                4.73
     Vardas1613    Pavarde1613                4.62
     Vardas1614    Pavarde1614                3.56
     Vardas1617    Pavarde1617                3.16
     Vardas1618    Pavarde1618                3.31
     Vardas1620    Pavarde1620                4.84
     Vardas1621    Pavarde1621                2.64
     Vardas1622    Pavarde1622                4.33
     Vardas1624    Pavarde1624                4.75
     Vardas1625    Pavarde1625                4.25
     Vardas1629    Pavarde1629                3.39
     Vardas1630    Pavarde1630                3.20
     Vardas1642    Pavarde1642                4.16
     Vardas1644    Pavarde1644                2.87
     Vardas1645    Pavarde1645                2.62
     Vardas1647    Pavarde1647                4.97
     Vardas1650    Pavarde1650                4.04
     Vardas1652    Pavarde1652                3.40
     Vardas1661    Pavarde1661                4.31
     Vardas1662    Pavarde1662                4.02
     Vardas1666    Pavarde1666                4.43
     Vardas1667    Pavarde1667                4.32
     Vardas1669    Pavarde1669                4.75
     Vardas1672    Pavarde1672                3.33
     Vardas1681    Pavarde1681                4.78
     Vardas1682    Pavarde1682                4.97
     Vardas1683    Pavarde1683                4.89
     Vardas1685    Pavarde1685                3.48
     Vardas1686    Pavarde1686                3.56
     Vardas1687    Pavarde1687                4.32
     Vardas1688    Pavarde1688                4.08
     Vardas1690    Pavarde1690                4.13
     Vardas1691    Pavarde1691                3.73
     Vardas1692    Pavarde1692                2.32
     Vardas1697    Pavarde1697                3.70
     Vardas1698    Pavarde1698                4.42
     Vardas1700    Pavarde1700                4.65
     Vardas1701    Pavarde1701                4.73
     Vardas1703    Pavarde1703                3.30
     Vardas1706    Pavarde1706                4.03
     Vardas1707    Pavarde1707                2.67
     Vardas1710    Pavarde1710                4.46
     Vardas1713    Pavarde1713                3.31
     Vardas1716    Pavarde1716                2.73
     Vardas1718    Pavarde1718                2.74
     Vardas1719    Pavarde1719                4.63
     Vardas1720    Pavarde1720                3.10
     Vardas1721    Pavarde1721                3.58
     Vardas1722    Pavarde1722                4.51
     Vardas1725    Pavarde1725                4.71
     Vardas1727    Pavarde1727                3.56
     Vardas1728    Pavarde1728                2.96
     Vardas1732    Pavarde1732                4.47
     Vardas1733    Pavarde1733                3.46
     Vardas1735    Pavarde1735                4.36
     Vardas1737    Pavarde1737                3.17
     Vardas1738    Pavarde1738                3.66
     Vardas1741    Pavarde1741                2.28
     Vardas1743    Pavarde1743                4.98
     Vardas1746    Pavarde1746                4.52
     Vardas1748    Pavarde1748                4.15
     Vardas1750    Pavarde1750                2.89
     Vardas1751    Pavarde1751                4.06
     Vardas1760    Pavarde1760                3.43
     Vardas1761    Pavarde1761                2.83
     Vardas1764    Pavarde1764                4.66
     Vardas1766    Pavarde1766                3.45
     Vardas1769    Pavarde1769                4.92
     Vardas1772    Pavarde1772                3.37
     Vardas1773    Pavarde1773                4.68
     Vardas1774    Pavarde1774                2.79
     Vardas1777    Pavarde1777                2.81
     Vardas1780    Pavarde1780                4.12
     Vardas1782    Pavarde1782                2.77
     Vardas1783    Pavarde1783                3.35
     Vardas1784    Pavarde1784                4.93
     Vardas1787    Pavarde1787                4.40
     Vardas1788    Pavarde1788                3.61
     Vardas1790    Pavarde1790                3.37
     Vardas1791    Pavarde1791                2.78
     Vardas1794    Pavarde1794                4.63
     Vardas1796    Pavarde1796                4.94
     Vardas1799    Pavarde1799                2.97
     Vardas1801    Pavarde1801                4.51
     Vardas1806    Pavarde1806                3.62
     Vardas1812    Pavarde1812                3.75
     Vardas1814    Pavarde1814                2.47
     Vardas1816    Pavarde1816                2.90
     Vardas1818    Pavarde1818                3.62
     Vardas1820    Pavarde1820                4.51
     Vardas1828    Pavarde1828                3.58
     Vardas1830    Pavarde1830                4.53
     Vardas1831    Pavarde1831                4.58
